name,page-name,page-id,likes,talking-about,percent,party,dist
趙天麟,趙天麟,skychao6238,102327,14610,14.2777566,民進黨,高雄市第7選舉區
黃璽文,鳳山有光黃璽文,HUANG2308,3097,542,17.50080723,國民黨,高雄市第8選舉區
許智傑,許智傑,ifongshan,22750,5565,24.46153846,民進黨,高雄市第8選舉區
林國正,林國正,1620968714810495,2164,2564,118.4842884,國民黨,高雄市第9選舉區
賴瑞隆,賴瑞隆,774908905922784,20453,8880,43.4166137,民進黨,高雄市第9選舉區
林宗彥,林宗彥博士 民國黨立委候選人 高雄市前鎮小港區,MktPhDLin,1977,722,36.51997977,民國黨,高雄市第9選舉區
蔡媽福,蔡媽福,103901806331276,456,46,10.0877193,中華統一促進黨,高雄市第9選舉區
郝龍斌,好基隆 郝龍斌,haulb,72515,11657,16.07529477,國民黨,基隆市選舉區
蔡適應,基隆.蔡適應,114129008623973,17249,10380,60.17740159,民進黨,基隆市選舉區
劉文雄,劉文雄（Liu Wen Hsiung）,LiuWenHsiung,42458,10926,25.73366621,親民黨,基隆市選舉區
李志鏞,李志鏞,YilanGOOD,3743,704,18.80844243,國民黨,宜蘭縣選舉區
陳歐珀,陳歐珀,chenoupo,17480,1416,8.100686499,民進黨,宜蘭縣選舉區
吳紹文,吳紹文 宜蘭縣立委參選人,shaowen333,3139,4060,129.3405543,綠黨社會民主黨聯盟,宜蘭縣選舉區
孫博萮,｛Fish睬政治｝孫博萮,SunPoYu,1756,703,40.03416856,無黨籍,宜蘭縣選舉區
林為洲,林為洲,weijoteam,52550,4694,8.93244529,國民黨,新竹縣選舉區
邱靖雅,邱靖雅 - 新竹縣立法委員候選人,joinus.tw,4856,1054,21.70510708,民國黨,新竹縣選舉區
鄭永金,鄭永金後援會,hsinchu.no1,16762,3858,23.0163465,無黨籍,新竹縣選舉區
卓恩宗,卓恩宗 堅持信念，把不可能變為可能,anthung.cho,573,96,16.7539267,信心希望聯盟,新竹縣選舉區
鄭正鈐,鄭正鈐,CCCHsinchu,34098,7530,22.08340665,國民黨,新竹市選舉區
柯建銘,柯建銘,kerchenming,140266,22061,15.72797399,民進黨,新竹市選舉區
歐崇敬,歐崇敬,140678319317061,1356,507,37.38938053,親民黨,新竹市選舉區
邱顯智,邱顯智 為人民辯護,LawyerHandyChiu,26849,38973,145.1562442,時代力量,新竹市選舉區
魏揚,魏揚   戰勝藍、綠唯一支持,WY.Hsinchu,84,78,92.85714286,軍公教聯盟黨,新竹市選舉區
陳超明,陳超明立法委員-竹南服務總部,215361781885954,2948,23,0.7801899593,國民黨,苗栗縣第1選舉區
杜文卿,杜文卿Tu Wen-ching,752720694842271,3948,2660,67.37588652,民進黨,苗栗縣第1選舉區
康世儒,康世儒,Kangshihju,19080,1728,9.056603774,民國黨,苗栗縣第1選舉區
林一方,林一方  苗栗第一選區立委參選人,ithongclub,1931,871,45.10616261,自由台灣黨,苗栗縣第1選舉區
徐志榮,看見徐志榮,1385833738386412,2354,1497,63.59388275,國民黨,苗栗縣第2選舉區
吳宜臻,吳宜臻,2014voteformiaoli,12637,1418,11.22101765,民進黨,苗栗縣第2選舉區
戴文祥,戴文祥（苗栗新政治工作者）,94imiaoli,769,559,72.69180754,無黨籍,苗栗縣第2選舉區
王惠美,尚打拼ㄟ王惠美．和美媳婦．鹿港女兒,wang.huimei,5981,3099,51.81407791,國民黨,彰化縣第1選舉區
陳文彬,陳文彬,AkiraChenFans,19553,21386,109.3745205,民進黨,彰化縣第1選舉區
林滄敏,林滄敏,tsangmin11,8178,3067,37.50305698,國民黨,彰化縣第2選舉區
黃秀芳,黃秀芳,smilefangfang,2916,2604,89.30041152,民進黨,彰化縣第2選舉區
張耀元,張耀元醫師 民國黨立委參選人_彰化‧花壇‧芬園,MKTDr.Chang,3882,2858,73.62184441,民國黨,彰化縣第2選舉區
黃玉芬,黃玉芬,491176550931779,2749,939,34.15787559,無黨籍,彰化縣第2選舉區
許永金,許永金,184994178501035,1721,459,26.67054038,無黨籍,彰化縣第2選舉區
鄭汝芬,立法委員鄭汝芬,246025718756404,3332,514,15.42617047,國民黨,彰化縣第3選舉區
洪宗熠,關鍵熠席-洪宗熠,1503029943345019,2621,946,36.09309424,民進黨,彰化縣第3選舉區
張錦昆,員林市長 張錦昆,Keepgoing.KUN,5849,5596,95.67447427,國民黨,彰化縣第4選舉區
陳素月,陳素月SayYes,chengSayYes,11842,1366,11.53521365,民進黨,彰化縣第4選舉區
馬文君,馬文君,nantou.go,5958,1138,19.10036925,國民黨,南投縣第1選舉區
張國鑫,立委候選人張國鑫,Kchang.Fans,2505,3896,155.5289421,民進黨,南投縣第1選舉區
許淑華,許淑華,130771133668155,13661,9583,70.1485982,國民黨,南投縣第2選舉區
蔡煌瑯,蔡煌瑯,373362590787,27541,20706,75.18245525,民進黨,南投縣第2選舉區
張鎔麒,張鎔麒,1685389718372194,2576,3669,142.4301242,國民黨,雲林縣第1選舉區
蘇治芬,蘇治芬,suchihfen,36912,9068,24.56653663,民進黨,雲林縣第1選舉區
吳威志,吳威志,WishYunlin,18749,780,4.160221879,國民黨,雲林縣第2選舉區
劉建國,劉建國,liucnko.fans,32302,2304,7.132685283,民進黨,雲林縣第2選舉區
林江釧,林江釧 釧起嘉義的幸福,bestchiayi,3754,1829,48.72136388,國民黨,嘉義縣第1選舉區
蔡易餘,蔡易餘 家己人,chaiyionefish,15515,2466,15.89429584,民進黨,嘉義縣第1選舉區
林于玲,林于玲,chiayilinyuling,2233,875,39.18495298,國民黨,嘉義縣第2選舉區
吳育仁,吳育仁《觀照下的願力新世界》,Labour.tw,12731,1673,13.14115152,國民黨,嘉義市選舉區
李俊俋,李俊俋,chunyileefans,31358,6592,21.02174884,民進黨,嘉義市選舉區
黃宏成台灣阿成世界偉人財神總統,黃宏成台灣阿成世界偉人財神總統,860334320708358,357,26,7.282913165,無黨籍,嘉義市選舉區
蘇震清,『蘇震清-我們承擔起責任』,su7666636,6182,265,4.286638628,民進黨,屏東縣第1選舉區
王進士,王進士,854760791227828,14624,5098,34.86050328,國民黨,屏東縣第2選舉區
鍾佳濱,鍾佳濱,cafe1965,15703,3273,20.84315099,民進黨,屏東縣第2選舉區
許謹如,屏東女飛人-許謹如,514483485382561,609,1673,274.7126437,國民黨,屏東縣第3選舉區
莊瑞雄,莊瑞雄-雄有戰力,dpp.greenbear,2005,305,15.21197007,民進黨,屏東縣第3選舉區
黃昭展,黃昭展在地服務團隊,pingtungH,12185,1277,10.48009848,無黨籍,屏東縣第3選舉區
丁勇智,自由台灣黨 丁勇智立委競選總部後援會,1664488257138527,116,121,104.3103448,自由台灣黨,屏東縣第3選舉區
陳建閣,陳建閣,taitungjacky,1350,99,7.333333333,國民黨,臺東縣選舉區
劉櫂豪,劉櫂豪,ZhaoHaoLiu,11342,2211,19.49391642,民進黨,臺東縣選舉區
王廷升,王廷升,174625412640734,867,90,10.38062284,國民黨,花蓮縣選舉區
蕭美琴,蕭美琴,Bikhim,53407,7153,13.3933754,民進黨,花蓮縣選舉區
陳雙全,陳雙全,PGgogo,1168,49,4.195205479,國民黨,澎湖縣選舉區
楊曜,楊曜Yangyao,220796314615357,1713,219,12.78458844,民進黨,澎湖縣選舉區
冼義哲,冼義哲,Che.Political,1675,185,11.04477612,樹黨,澎湖縣選舉區
陳滄江,陳滄江,173281682704778,6547,56,0.8553535971,民進黨,金門縣選舉區
吳成典,吳成典-點點青年軍,island.power.young.point,2493,1120,44.92579222,新黨,金門縣選舉區
陳德輝,陳德輝-與您一起返金逐夢的立法委員候選人,kinmem.dream,97,101,104.1237113,台灣工黨,金門縣選舉區
高丹樺,高丹樺 作家,danhuakao,2065,4778,231.3801453,軍公教聯盟黨,金門縣選舉區
蘇柏豪,蘇柏豪,twporcupine,2679,216,8.062709966,樹黨,連江縣選舉區
陳瑩,陳瑩-Ying  Chen原住民族事務廣場,808141885898192,6290,1362,21.65341812,民進黨,平地原住民選舉區
吳國譽,吳國譽 Rahic Amind,1981yu,2152,1701,79.04275093,民國黨,平地原住民選舉區
馬躍．比吼,馬躍．比吼 Mayaw Biho,2016mayawbiho,19457,20843,107.1234003,無黨籍,平地原住民選舉區
達佶祐・卡造,達佶祐・卡造,takiyokacaw,394,274,69.54314721,軍公教聯盟黨,平地原住民選舉區
柯荏耀,柯荏耀,Trueman1219,81,2,2.469135802,無黨籍,平地原住民選舉區
達摩·阿雄,達摩·阿雄,632081320265155,12,5,41.66666667,無黨籍,平地原住民選舉區
孔文吉,孔文吉,134086613358799,1200,17,1.416666667,國民黨,山地原住民選舉區
簡東明,簡東明(Uliw.Qaljupayare),uliw.qaljupayare,2545,374,14.69548134,國民黨,山地原住民選舉區
高金素梅,高金素梅(吉娃斯．阿麗),giwas888,12947,5890,45.49316444,無黨團結聯盟,山地原住民選舉區
林信義,林信義,WaTanDoPow,1108,235,21.20938628,信心希望聯盟,山地原住民選舉區
尤命‧蘇樣,尤命蘇樣-山原立委候選人-獨立參選,twsuyan,248,285,114.9193548,無黨籍,山地原住民選舉區
林世偉,林世偉,101608840186679,578,56,9.688581315,無黨籍,山地原住民選舉區
王金平,王金平,173927656287650,8743,15350,175.5690266,國民黨,不分區
曾銘宗,曾銘宗,TsengMingChung,12751,115,0.9018900478,國民黨,不分區
黃昭順,黃昭順-鐵的康乃馨,KHshun,7456,347,4.653969957,國民黨,不分區
吳志揚,吳志揚,johnwu28,3785,62,1.638044914,國民黨,不分區
張麗善,張麗善粉絲團,yunlin.lishan,55442,3135,5.654557916,國民黨,不分區
王育敏,兒少尖兵-立法委員王育敏,151758448274492,4210,253,6.009501188,國民黨,不分區
林奕華,林奕華之奕想華園,209010448523,2330,10,0.4291845494,國民黨,不分區
李貴敏,李貴敏委員粉絲團,lystaceylee,1633,196,12.00244948,國民黨,不分區
徐巧芯,徐巧芯,HsuChiaoHsin,12341,5304,42.97868892,國民黨,不分區
李正皓,李正皓,869453123161828,546,1471,269.4139194,國民黨,不分區
林家興,林家興的復革人生,LJXfight4ROC,2027,136,6.709422792,國民黨,不分區
蕭敬嚴,蕭敬嚴 X 革新世代,james.hsiao.1215,708,134,18.92655367,國民黨,不分區
顧立雄,顧立雄,Taipei.WellingtonKoo,27605,53,0.1919942039,民進黨,不分區
余宛如,余宛如,Yuwanju,1240,14,1.129032258,民進黨,不分區
蘇嘉全,蘇嘉全,torosu,102583,117,0.1140539856,民進黨,不分區
段宜康,段宜康,tuanyikang,72818,16892,23.19756104,民進黨,不分區
鄭麗君,鄭麗君,love.lichiun,11526,103,0.893631789,民進黨,不分區
陳其邁,陳其邁 Chen Chi-Mai,122936517768637,30235,14209,46.99520423,民進黨,不分區
尤美女,尤美女立委,yumeinu,15947,111,0.6960556845,民進黨,不分區
李應元,李應元-台灣應元團,LoveYingYuan,4897,424,8.658362263,民進黨,不分區
林靜儀,林靜儀,LinCYminorta,2417,848,35.08481589,民進黨,不分區
徐國勇,前進新台灣－徐國勇律師,tommyhsu47,8484,11310,133.3097595,民進黨,不分區
郭正亮,郭正亮,199506260092407,13433,682,5.077049058,民進黨,不分區
余莓莓,余莓莓,152375864844407,13825,749,5.417721519,民進黨,不分區
黃帝穎,黃帝穎,HuangDiYing,2454,1348,54.93072535,民進黨,不分區
賴振昌,台聯立法委員 賴振昌,LaiChanChun,2948,228,7.734056988,台灣團結聯盟,不分區
高基讚,高基讚,kao.service1113,658,18,2.73556231,台灣團結聯盟,不分區
張素華,張素華,sowhuaa.org,537,43,8.00744879,台灣團結聯盟,不分區
周倪安,點亮雙和 周倪安祝您安,tsu.chounian,6100,959,15.72131148,台灣團結聯盟,不分區
李卓翰,李卓翰 - 台北市公民參與委員,seeuneed,2747,5,0.1820167455,台灣團結聯盟,不分區
鄭秀玲,鄭秀玲,1496899860638873,124,12,9.677419355,時代力量,不分區
柯一正,柯一正,koimagelephant,976,9,0.9221311475,時代力量,不分區
徐永明,徐永明教授,polymh,24067,3435,14.2726555,時代力量,不分區
張麗芬,張麗芬,767570560018771,9438,9745,103.2528078,綠黨社會民主黨聯盟,不分區
李根政,李根政,leekc2016,6646,7914,119.0791454,綠黨社會民主黨聯盟,不分區
詹順貴,詹順貴,thomas0126,7459,1909,25.59324306,綠黨社會民主黨聯盟,不分區
葉大華,葉大華,veranayeh,1549,585,37.76630084,綠黨社會民主黨聯盟,不分區
謝英俊,謝英俊建築師 第三建築工作室 Hsieh Ying-Chun,hsiehyingchun,3872,368,9.504132231,綠黨社會民主黨聯盟,不分區
許秀雯,同志許秀雯 綠黨不分區,MeVictoriaHSU,5568,1423,25.55675287,綠黨社會民主黨聯盟,不分區
李鴻鈞,立法委員李鴻鈞,176709252368240,723,24,3.319502075,親民黨,不分區
陳怡潔,立委 陳怡潔 Chen Yi-Chieh,538471059564180,9875,2895,29.3164557,親民黨,不分區
李天鐸,李天鐸軍事論壇,timlee88,5420,616,11.36531365,民國黨,不分區
葉毓蘭,葉毓蘭,838519366164832,10161,3960,38.97254207,新黨,不分區
邱毅,邱毅『談天論地話縱橫』,127907197272507,31015,5058,16.30823795,新黨,不分區
王炳忠,王炳忠,bingzhong.wang,9958,2242,22.51456116,新黨,不分區
侯漢廷,侯漢廷,HanTingHou,2289,3446,150.54609,新黨,不分區
趙家蓉,趙家蓉服務讚,223335004526185,1925,21,1.090909091,新黨,不分區
楊世光,楊世光的新視野,362509207185719,22921,1066,4.650756948,新黨,不分區
周芷萱,周芷萱　斬父權獨立劍　老娘就是反骨！,ChihHsuanChouFreeTaiwanParty,1576,762,48.35025381,自由台灣黨,不分區
蕭曉玲,蕭曉玲,166352390093354,4820,249,5.165975104,自由台灣黨,不分區
郭正典,郭正典的粉絲頁,cdkuo,2315,274,11.83585313,自由台灣黨,不分區
蔡丁貴,蔡丁貴教授-台灣堅持的力量,320049491447,19658,3275,16.65988402,自由台灣黨,不分區
陶君亮,陶君亮,NewPower.TwinEngines,1874,778,41.51547492,信心希望聯盟,不分區
南岳君,南岳君的奇蹟之旅,votenan,1792,549,30.63616071,信心希望聯盟,不分區
鄭美珠,鄭美珠,meichu55,487,383,78.64476386,無黨團結聯盟,不分區
蔡錦賢,蔡錦賢,269017619899884,5361,11,0.2051855997,無黨團結聯盟,不分區
張安樂,張安樂粉絲團,619924111375538,11220,1724,15.36541889,中華統一促進黨,不分區
趙福芬,趙福芬,ZhaoFuFen,757,12,1.585204756,中華統一促進黨,不分區
潘翰聲,潘翰聲,panhan3.treesparty,4381,368,8.399908697,樹黨,不分區